ZIP,CBSA Code,CBSA Title,Metro
7727,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7728,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7730,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7731,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7732,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7733,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7734,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7735,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7737,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7738,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7739,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7740,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7746,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7747,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7748,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7750,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7751,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7752,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7753,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7754,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7755,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7756,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7757,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7758,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7760,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7762,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7763,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7764,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7765,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7799,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7801,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7802,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7803,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7806,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7821,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7822,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7825,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7826,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7827,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7828,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
